"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7991","Transfer is processed when fraud check is approved [1] 0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldProcessTransferWhenFraudCheckIsApproved"
"","1163","User creation is rejected when the request has invalid param 5: empty password","","2026-08-09","passed","2026-08-09","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","24610","Transfer to another user is rejected when balance is insufficient [1] 0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferToAnotherUserWhenBalanceIsInsufficient"
"","43343","User can transfer money between own accounts and see successful alert","","2026-08-09","passed","2026-08-09","","ui.transactions.TransferMoneyUiTest","ui.transactions.TransferMoneyUiTest","shouldTransferMoneyBetweenOwnAccounts"
"","33934","User can deposit money into own account and see success alert","","2026-08-09","passed","2026-08-09","","ui.transactions.MakeDepositUiTest","ui.transactions.MakeDepositUiTest","shouldDepositMoneyIntoOwnAccount"
"","5941","Profile name update is rejected when the new name is invalid [7] qti dcrxleuzm0","","2026-08-09","passed","2026-08-09","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","7506","Transfer is rejected when amount is zero or negative [2] 0.0","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountIsNotPositive"
"","3450","Transfer with fraud check request is rejected when auth header is empty","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldRejectUnauthorisedTransferWithFraudRequest"
"","11103","Transfer is rejected when sender account does not exist","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenSenderAccountDoesNotExist"
"","25543","Deposit is rejected when account does not exist","","2026-08-09","passed","2026-08-09","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenAccountDoesNotExist"
"","1857","User creation is rejected when the request has invalid param 2: username has invalid format","","2026-08-09","passed","2026-08-09","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldRejectUserCreationWhenRequestIsInvalid"
"","35975","Transfer between own accounts is rejected when balance is insufficient [1] 0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferBetweenOwnAccountsWhenBalanceIsInsufficient"
"","8073","Transfer is rejected when amount is zero or negative [1] -0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountIsNotPositive"
"","5080","Profile name update is rejected when the new name is invalid [2]  ","","2026-08-09","passed","2026-08-09","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","4402","Profile name update is rejected when auth header is empty","","2026-08-09","passed","2026-08-09","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectUnauthorisedRequest"
"","11270","Deposit succeeds when amount is within the allowed range [1] 0.1","","2026-08-09","passed","2026-08-09","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldDepositMoneyWhenAmountIsWithinAllowedRange"
"","13434","Transfer is not processed when additional verification is required [1] 0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyWithFraudApiTest","api.transactions.TransferMoneyWithFraudApiTest","shouldNotProcessTransferWhenVerificationIsRequired"
"","8761","Deposit is rejected when requested by an administrator","","2026-08-09","passed","2026-08-09","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectDepositWhenRequestedByAdmin"
"","1872","User deletion is rejected when the url param is null","","2026-08-09","passed","2026-08-09","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenUrlParamIsNull"
"","18497","Transfer to another user's account succeeds when balance is sufficient [1] 0.01","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherUserWhenBalanceIsSufficient"
"","3371","Authorization header is empty when invalid credentials was sent","","2026-08-09","passed","2026-08-09","","api.auth.UserApiTest","api.auth.UserApiTest","shouldNotReturnAuthorizationHeaderWhenInvalidCredentials"
"","4181","Deposit request is rejected when auth header is empty","","2026-08-09","passed","2026-08-09","","api.transactions.MakeDepositApiTest","api.transactions.MakeDepositApiTest","shouldRejectUnauthorisedDepositRequest"
"","8386","Transfer is rejected when amount exceeds the maximum limit","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldRejectTransferWhenAmountExceedsMaximumLimit"
"","2619","Admin creates a user when the request is valid","","2026-08-09","passed","2026-08-09","","api.admin.CreateUserTest","api.admin.CreateUserTest","shouldCreateUserWhenRequestIsValid"
"","16973","Transfer to another user's account succeeds when balance is sufficient [3] 10000.0","","2026-08-09","passed","2026-08-09","","api.transactions.TransferMoneyApiTest","api.transactions.TransferMoneyApiTest","shouldTransferMoneyToAnotherUserWhenBalanceIsSufficient"
"","7008","Admin delete existed user","","2026-08-09","passed","2026-08-09","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldDeleteUserWhenItExists"
"","7173","Profile name update is rejected when the new name is invalid [5] jpJzB","","2026-08-09","passed","2026-08-09","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldRejectProfileNameUpdateWhenNameIsInvalid"
"","5756","Profile name is updated when the new name is valid","","2026-08-09","passed","2026-08-09","","api.ChangeUserProfileApiTest","api.ChangeUserProfileApiTest","shouldUpdateProfileNameWhenNameIsValid"
"","156","User deletion is rejected when request without auth","","2026-08-09","passed","2026-08-09","","api.admin.DeleteUserTest","api.admin.DeleteUserTest","shouldRejectUserDeletionWhenRequestWithoutAuth"
